"DiseaseName","Regulator","Target","RegulationDiretion","ExpressionParttern","InfluencedFunction","RegulatoryMechanism","More Details"
"Prostate cancer","MALAT1","EZH2","interact","upregulation","oncogenic role(+)","interact with protein","More Details"
"Prostate cancer","SNHG1","CDK7","positively-E","upregulation","cell proliferation(+)","ceRNA(miR-199a-3p)","More Details"
"Pulmonary fibrosis","MALAT1","PIK3R1","positively-E","upregulation","epithelial to mesenchymal transition(+);fibrotic(+)","ceRNA(miR-503)","More Details"
"Pulmonary hypertension","MEG3","PTEN","positively-E","downregulation","cell proliferation(+);cell migration(+)","ceRNA(miR-21)","More Details"
"Renal cell carcinoma","TUG1","YAP1","positively-E","upregulation","cell proliferation(+);cell migration(+)","ceRNA(miR-9)","More Details"
"Renal cell carcinoma","MALAT1","EZH2","interact","upregulation","cell proliferation(+);cell invasion(+);cell apoptosis(-)","interact with protein","More Details"
"Renal cell carcinoma","MALAT1","miR-205","negatively-F","upregulation","cell proliferation(+);cell invasion(+);cell apoptosis(-)","sponge","More Details"
"Renal cell carcinoma","MALAT1","BIRC7","positively-F","upregulation","cell proliferation(+);cell metastasis(+)","protein stability","More Details"
"Retinoblastoma","OIP5-AS1","AGPAT2","positively-E","upregulation","chemoresistance(+);PI3K/AKT/mTOR signaling pathway(+)","ceRNA(miR-340-5p)","More Details"
"Retinoblastoma","NEAT1","CXCR4","positively-E","upregulation","cell growth(+)","ceRNA(miR-204)","More Details"
"Retinoblastoma","XIST","ZEB1","positively-E","upregulation","epithelial to mesenchymal transition(+)","ceRNA(miR-101)","More Details"
"Retinoblastoma","XIST","ZEB2","positively-E","upregulation","epithelial to mesenchymal transition(+)","ceRNA(miR-101)","More Details"
"Skin disease","H19","DSG1","negatively-E","downregulation","cell differentiation(+)","ceRNA(miR-130b-3p)","More Details"
"Small cell lung cancer","TUG1","LIMK2","negatively-E","upregulation","chemoresistance(+);cell growth(+)","histone modification","More Details"
"Small cell lung cancer","TUG1","EZH2","interact","upregulation","chemoresistance(+);cell growth(+)","interact with protein","More Details"
"Spinal cord injury","MALAT1","miR-199b","negatively-E","upregulation","inflammatory response(+)","sponge","More Details"
"Stroke","MEG3","TP53","positively-F","upregulation","neuronal death(+)","interact with protein","More Details"
"T-cell lymphoblastic lymphoma","MEG3","AIFM2","positively-E","upregulation","cell growth(-)","ceRNA(miR-214)","More Details"
"Temporal lobe epilepsy","H19","let-7b","negatively-F","upregulation","apoptosis process(+)","sponge","More Details"
"Thyroid cancer","H19","YES1","positively-E","upregulation","cell cycle(+)","ceRNA(miR-17-5p)","More Details"
"Thyroid carcinoma","MEG3","miR-182","negatively-F","downregulation","radiosensitivity(+)","sponge","More Details"
"Tongue cancer","KCNQ1OT1","EZR","positively-E","upregulation","chemoresistance(+);cell proliferation(+);Ezrin/Fak/Src signaling pathway(-)","ceRNA(miR-211-5p)","More Details"
"Tongue cancer","MALAT1","JAG1","positively-E","upregulation","cell growth(+);cell metastasis(+)","ceRNA(miR-124-3p)","More Details"
"Triple-receptor negative breast cancer","GAS5","miR-196a-5p","negatively-F","downregulation","cancer progression(-);cell proliferation(-);cell invasion(-)","sponge","More Details"
"Triple-receptor negative breast cancer","CYTOR","BRCA1","negatively-E","upregulation","tumorigenesis(+)","DNA methylation","More Details"
"Triple-receptor negative breast cancer","CYTOR","PTEN","negatively-E","upregulation","tumorigenesis(+)","DNA methylation","More Details"
"Triple-receptor negative breast cancer","MALAT1","miR-129-5p","negatively-F","upregulation","cell proliferation(+);cell invasion(+);cancer progression(+)","sponge","More Details"
"Urinary bladder cancer","TUG1","miR-29c","negatively-F","upregulation","cell proliferation(+);cell invasion(+);cell migration(+)","sponge","More Details"
"Urinary bladder cancer","SNHG6","SNAI1","interact","upregulation","epithelial to mesenchymal transition(+)","interact with protein","More Details"
"Urinary bladder cancer","SNHG6","SNAI2","interact","upregulation","epithelial to mesenchymal transition(+)","interact with protein","More Details"
"Urinary bladder cancer","SNHG6","NUAK1","positively-E","upregulation","cell migration(+);cell invasion(+)","ceRNA(miR-125b)","More Details"
"Urinary bladder cancer","H19","CDH1","negatively-E","upregulation","cell metastasis(+)","transcriptional regulation","More Details"
"Urinary bladder cancer","MALAT1","BCL2","positively-E","upregulation","apoptosis process(-);cell invasion(+)","ceRNA(miR-125b)","More Details"
"Urinary bladder cancer","MALAT1","MMP13","positively-E","upregulation","apoptosis process(-);cell invasion(+)","ceRNA(miR-125b)","More Details"
"Urinary bladder cancer","H19","DNMT3B","positively-E","upregulation","epithelial to mesenchymal transition(+);cell metastasis(+)","ceRNA(miR-29b-3p)","More Details"
"Urinary bladder cancer","GAS5","EZH2","negatively-E","downregulation","apoptosis process(+)","transcriptional regulation","More Details"
"Urinary bladder cancer","AWPPH","SMAD4","negatively-E","downregulation","cancer progression(+);cell proliferation(+);cell autophagy(+);cell migration(+);apoptosis process(-)","epigenetic regulation","More Details"
"Urinary bladder cancer","MALAT1","SUZ12","positively-F","upregulation","cell metastasis(+)","interact with protein","More Details"
"Urinary bladder cancer","TUG1","ZEB2","positively-E","upregulation","radioresistance(+);epithelial to mesenchymal transition(+);cell invasion(+);cell metastasis(+)","ceRNA(miR-145)","More Details"
"Urinary bladder cancer","XIST","AR","positively-E","upregulation","cell growth(+);cell invasion(+);cell migration(+)","ceRNA(miR-124)","More Details"
"Urinary bladder cancer","H19","EZH2","interact","upregulation","cell metastasis(+)","interact with protein","More Details"
"Urinary bladder cancer","GAS5","CDK6","negatively-E","downregulation","cell proliferation(-)","RNA stability","More Details"
"Urinary bladder cancer","MALAT1","CDH1","negatively-E","upregulation","cell metastasis(+)","epigenetic regulation","More Details"
"Urinary bladder cancer","AWPPH","EZH2","interact","downregulation","cancer progression(+);cell proliferation(+);cell autophagy(+);cell migration(+);apoptosis process(-)","interact with protein","More Details"
"Varicosity","GAS5","ANXA2","interact","downregulation","cell proliferation(-)","interact with protein","More Details"
