From	To	Species	Gene Name
ENSG00000173517	AK091802	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	AK074157	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	AW069191	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	AK127658	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	AK024793	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	DA651665	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	AK124548	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000197563	NM_012327	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	DB093302	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	AK000730	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	XM_017025686	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	XM_017025685	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	BM830623	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	AK315134	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	XM_011525889	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	JF432309	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	XM_011525890	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	XM_011525892	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	XM_011525891	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	DB239067	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	AF109219	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	BM683126	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	BQ023276	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	BC028363	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	XM_011525895	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	BF112133	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	XM_011525896	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	XM_011525893	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	XM_011525894	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	XM_011525898	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	AL137607	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	NM_176787	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000197563	BU739970	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
ENSG00000145012	BC130584	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	AK304035	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	AI126032	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_005247451	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_005247450	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	BC042960	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	U29116	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_005247453	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	AK302959	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	U49957	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	BX474180	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_011512831	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_017006377	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	AW301088	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	AL833171	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XR_001740144	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_017006378	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_017006379	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_011512836	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_011512833	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_011512834	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	BX641108	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	AK123506	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	NM_005578	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	BC144076	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	AA813328	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	CR457074	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	NM_001167672	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_005247446	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_017006382	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	CD697098	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_017006381	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_017006380	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_011512820	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	NM_001167671	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	AK055214	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_011512827	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_011512828	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	XM_011512823	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSG00000145012	BG192042	Homo sapiens	LIM domain containing preferred translocation partner in lipoma(LPP)
